ISIN,TICKER,등급,섹터,Credit_Delta_$per bp,sigma_bp_3Y,sigma출처,실제스프레드리스크_1시그마_$,실제스프레드리스크_95%VaR_$,실제스프레드리스크_99%VaR_$
USH42097FS17,UBS,A,금융,-1233.9741568000002,2.864,individual_cache,-3534.0,-5814.0,-8234.0
USJ5S39RAS35,NTT,A,비금융,-1044.95095575,1.944,individual_cache,-2031.0,-3342.0,-4733.0
USY4899GGX52,KOHNPW,AA-,비금융,-81.24104865300001,2.018,individual_cache,-164.0,-270.0,-382.0
USY4899GGX52,KOHNPW,AA-,비금융,-1354.0174775500004,2.018,individual_cache,-2732.0,-4495.0,-6367.0
USY4899GGX52,KOHNPW,AA-,비금융,-4278.695229058,2.018,individual_cache,-8634.0,-14204.0,-20118.0
USY5S5CGAL65,LGENSO,BBB+,비금융,-2709.2231649999994,2.687,individual_cache,-7280.0,-11975.0,-16962.0
USY5S5CGAL65,LGENSO,BBB+,비금융,-812.7669494999999,2.687,individual_cache,-2184.0,-3593.0,-5088.0
USY5S5CGAL65,LGENSO,BBB+,비금융,-541.844633,2.687,individual_cache,-1456.0,-2395.0,-3392.0
USY5S5CGAL65,LGENSO,BBB+,비금융,-270.9223165,2.687,individual_cache,-728.0,-1198.0,-1696.0
USY5S5CGAL65,LGENSO,BBB+,비금융,-15713.494357,2.687,individual_cache,-42222.0,-69455.0,-98378.0
USY5S5CGAL65,LGENSO,BBB+,비금융,-812.7669494999999,2.687,individual_cache,-2184.0,-3593.0,-5088.0
USY5S5CGAL65,LGENSO,BBB+,비금융,-541.844633,2.687,individual_cache,-1456.0,-2395.0,-3392.0
USY5S5CGAL65,LGENSO,BBB+,비금융,-2709.2231649999994,2.687,individual_cache,-7280.0,-11975.0,-16962.0
USY5S5CGAL65,LGENSO,BBB+,비금융,-1354.6115824999997,2.687,individual_cache,-3640.0,-5988.0,-8481.0
USY5S5CGAL65,LGENSO,BBB+,비금융,-812.7669494999999,2.687,individual_cache,-2184.0,-3593.0,-5088.0
USY5S5CGAL65,LGENSO,BBB+,비금융,-812.7669494999999,2.687,individual_cache,-2184.0,-3593.0,-5088.0
USY5S5CGAL65,LGENSO,BBB+,비금융,-1083.689266,2.687,individual_cache,-2912.0,-4790.0,-6785.0
USY5S5CGAL65,LGENSO,BBB+,비금융,-541.844633,2.687,individual_cache,-1456.0,-2395.0,-3392.0
USY5S5CGAL65,LGENSO,BBB+,비금융,-541.844633,2.687,individual_cache,-1456.0,-2395.0,-3392.0
USY5S5CGAL65,LGENSO,BBB+,비금융,-270.9223165,2.687,individual_cache,-728.0,-1198.0,-1696.0
USY5S5CGAL65,LGENSO,BBB+,비금융,-270.9223165,2.687,individual_cache,-728.0,-1198.0,-1696.0
USY5S5CGAL65,LGENSO,BBB+,비금융,-812.7669494999999,2.687,individual_cache,-2184.0,-3593.0,-5088.0
USY5S5CGAL65,LGENSO,BBB+,비금융,-812.7669494999999,2.687,individual_cache,-2184.0,-3593.0,-5088.0
USY5S5CGAL65,LGENSO,BBB+,비금융,-1354.6115824999997,2.687,individual_cache,-3640.0,-5988.0,-8481.0
USY5S5CGAL65,LGENSO,BBB+,비금융,-1354.6115824999997,2.687,individual_cache,-3640.0,-5988.0,-8481.0
USY5S5CGAL65,LGENSO,BBB+,비금융,-921.1358760999999,2.687,individual_cache,-2475.0,-4072.0,-5767.0
